layer,expert,activation_count,share_of_layer_topk_picks
6,91,2167,0.008266
6,92,1278,0.004875
6,93,2841,0.010838
6,94,2625,0.010014
6,95,2214,0.008446
6,96,1976,0.007538
6,97,1469,0.005604
6,98,505,0.001926
6,99,1486,0.005669
6,100,778,0.002968
6,101,1807,0.006893
6,102,1319,0.005032
6,103,4796,0.018295
6,104,1449,0.005527
6,105,1275,0.004864
6,106,3954,0.015083
6,107,786,0.002998
6,108,3174,0.012108
6,109,3301,0.012592
6,110,1837,0.007008
6,111,975,0.003719
6,112,1505,0.005741
6,113,2130,0.008125
6,114,2901,0.011066
6,115,2508,0.009567
6,116,2419,0.009228
6,117,1614,0.006157
6,118,3146,0.012001
6,119,1172,0.004471
6,120,1374,0.005241
6,121,2063,0.007870
6,122,2805,0.010700
6,123,2390,0.009117
6,124,2462,0.009392
6,125,1540,0.005875
6,126,3113,0.011875
6,127,567,0.002163
7,0,1411,0.005383
7,1,942,0.003593
7,2,1126,0.004295
7,3,2276,0.008682
7,4,2697,0.010288
7,5,1123,0.004284
7,6,1825,0.006962
7,7,4005,0.015278
7,8,2109,0.008045
7,9,3518,0.013420
7,10,2870,0.010948
7,11,3077,0.011738
7,12,1614,0.006157
7,13,2192,0.008362
7,14,4520,0.017242
7,15,1309,0.004993
7,16,1116,0.004257
7,17,3118,0.011894
7,18,1398,0.005333
7,19,1950,0.007439
7,20,2578,0.009834
7,21,1631,0.006222
7,22,1725,0.006580
7,23,1005,0.003834
7,24,1691,0.006451
7,25,961,0.003666
7,26,2273,0.008671
7,27,2011,0.007671
7,28,2992,0.011414
7,29,1648,0.006287
7,30,2891,0.011028
7,31,3016,0.011505
7,32,3168,0.012085
7,33,2635,0.010052
7,34,2377,0.009068
7,35,2157,0.008228
7,36,1509,0.005756
7,37,1957,0.007465
7,38,1876,0.007156
7,39,4082,0.015572
7,40,987,0.003765
7,41,1692,0.006454
7,42,2102,0.008018
7,43,1138,0.004341
7,44,2572,0.009811
7,45,1449,0.005527
7,46,2208,0.008423
7,47,1877,0.007160
7,48,566,0.002159
7,49,2439,0.009304
